# Northeast Breakers Coral Stable Isotope Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: 
#
# Original_Source_URL: 
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2015-11-11
#--------------------
# Title
#	Study_Name: Northeast Breakers Coral Stable Isotope Data
#--------------------
# Investigators
#       Investigators: Kuhnert, H.; Cruger, T.; Patzold, J.
#--------------------
# Description_and_Notes
#	Description: 
#--------------------
# Publication 
#       Authors: Kuhnert, H.; Cruger, T.; Patzold, J.
#       Published_Date_or_Year: 2005
#       Published_Title: NAO signature in a Bermuda coral Sr/Ca record
#       Journal_Name: Geochemistry, Geophysics, Geosystems
#       Volume: 6
#       Edition: 
#       Issue: 4
#       Pages: 
#       DOI: 10.1029/2004GC000786
#       Online_Resource: http://onlinelibrary.wiley.com/doi/10.1029/2004GC000786/full
#       Full_Citation: 
#       Abstract: We present a 55-year-long record (1928–1982) of Sr/Ca in a Bermuda coral (Diploria strigosa), which we use to reconstruct local twentieth century climate features. The clearest climate signal emerges for the late-year Sr/Ca. Although the coral was collected in shallow water (12 m), the correlation with station data is highest for temperatures at 50 m depth (r = −0.70), suggesting that local temperatures at the collection site are not representative for the sea surface temperatures in the adjacent open ocean. The most striking feature of the coral record is the persistent and significant correlation (r = −0.50) with the North Atlantic Oscillation (NAO) index. Field correlations of fall Sr/Ca with the winter sea level pressure (SLP) show the typical spatial NAO pattern. The stable relationship with the NAO shows that Sr/Ca in Bermuda corals is a suitable tool for the reconstruction of North Atlantic climate variability.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Northeast Breakers, Bermuda
#       Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Bermuda
#	Country: Bermuda 
#	Northernmost_Latitude: 32.33
# 	Southernmost_Latitude: 32.33
# 	Easternmost_Longitude: -64.75
# 	Westernmost_Longitude: -64.75
# 	Elevation: -12 m  
#------------------
# Data_Collection   
#	Collection_Name: 05berm01a
#	Earliest_Year: 1825
#	Most_Recent_Year: 1983
#	Time_Unit: y_ad
#	Core_Length: 
#	Notes: {"database":"PAGES2"}{"database":"LMR_FM"}
#------------------
# Species
#	Species_Name: Diploria strigosa 
#	Common_Name: 
#------------------
# Chronology: 
# 
#
# 
#
# 
#
#
#
#----------------
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age	age, , ,y_ad, , Corals and Sclerosponges, , ,N
##d18O	delta 18 Oxygen, Diploria strigosa, , permil, , Corals and Sclerosponges, , ,N
##Sr/Ca	Strontium/Calcium, Diploria strigosa, ,mmol/mol, ,Corals and Sclerosponges, , ,N
##d13C	delta 13 Carbon, Diploria strigosa, , permil, , Corals and Sclerosponges, , ,N
##U/Ca	Strontium/Calcium, Diploria strigosa, ,mmol/mol, ,Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN
#
age	d18O	Sr/Ca	d13C	U/Ca
1983.21	-4.15	9.08	-1.98	1.14
1983.13	-3.66	9.17	-1.84	1.17
1983.04	-3.69	9.14	-2.04	1.13
1982.96	-4.07	9.14	-2.22	1.09
1982.88	-3.95	9.17	-2.4	1.11
1982.79	-4.12	9.09	-2.59	1.04
1982.71	-3.92	9.08	-2.39	1
1982.63	-3.26	9.19	-2.02	1.09
1982.54	-3.27	9.3	-1.59	1.18
1982.46	-3.48	9.21	-1.17	1.16
1982.38	-3.39	9.2	-0.96	1.14
1982.29	-3.23	9.17	-1.1	1.09
1982.21	-3.17	9.2	-1.53	1.13
1982.13	-3.4	9.21	-1.86	1.13
1982.04	-3.51	9.21	-1.91	1.13
1981.96	-3.74	9.16	-2.03	1.11
1981.88	-3.83	9.12	-1.97	1.1
1981.79	-3.94	9.07	-2.01	1.07
1981.71	-3.93	9.07	-1.86	1.06
1981.63	-3.82	9.08	-1.46	1.07
1981.54	-3.78	9.07	-1.34	1.05
1981.46	-3.65	9.11	-1.13	1.05
1981.38	-3.52	9.16	-0.89	1.09
1981.29	-3.54	9.21	-1.53	1.12
1981.21	-3.33	9.22	-1.11	1.13
1981.13	-3.48	9.15	-1.4	1.11
1981.04	-3.57	9.11	-1.61	1.08
1980.96	-3.6	9.1	-1.74	1.03
1980.88	-3.81	9.16	-1.87	1.07
1980.79	-3.93	9.15	-1.89	1.06
1980.71	-3.95	9.08	-1.81	1.02
1980.63	-3.89	9.07	-1.78	1.01
1980.54	-3.77	9.09	-1.72	1.03
1980.46	-3.58	9.14	-1.64	1.07
1980.38	-3.38	9.16	-1.47	1.07
1980.29	-3.21	9.19	-1.29	1.08
1980.21	-3.08	9.21	-1.09	1.09
1980.13	-3.17	9.2	-1.33	NAN
1980.04	-3.11	9.19	-1.14	NAN
1979.96	-3.31	9.19	-1.19	NAN
1979.88	-3.49	9.16	-1.31	NAN
1979.79	-3.66	9.14	-1.47	NAN
1979.71	-3.8	9.11	-1.64	NAN
1979.63	-3.9	9.1	-1.81	NAN
1979.54	-3.93	9.1	-1.85	NAN
1979.46	-3.83	9.07	-1.68	NAN
1979.38	-3.73	9.09	-1.53	NAN
1979.29	-3.56	9.15	-1.43	NAN
1979.21	-3.1	9.24	-1.03	NAN
1979.13	-3.22	9.26	-0.88	NAN
1979.04	-3.32	9.22	-0.93	NAN
1978.96	-3.41	9.16	-1.08	NAN
1978.88	-3.5	9.15	-1.22	NAN
1978.79	-3.65	9.13	-1.31	NAN
1978.71	-3.76	9.08	-1.34	NAN
1978.63	-3.82	9.06	-1.36	NAN
1978.54	-3.8	9.1	-1.44	NAN
1978.46	-3.7	9.14	-1.64	NAN
1978.38	-3.51	9.17	-1.54	NAN
1978.29	-3.27	9.18	-1.36	NAN
1978.21	-3.01	9.18	-1.31	NAN
1978.13	-3.08	9.27	-1.64	NAN
1978.04	-3.21	9.34	-1.69	NAN
1977.96	-3.38	9.24	-1.77	NAN
1977.88	-3.55	9.18	-1.79	NAN
1977.79	-3.63	9.14	-1.54	NAN
1977.71	-3.64	9.13	-1.27	NAN
1977.63	-3.72	9.15	-1.26	NAN
1977.54	-3.79	9.14	-1.39	NAN
1977.46	-3.65	9.13	-1.34	NAN
1977.38	-3.47	9.16	-1.05	NAN
1977.29	-3.19	9.19	-0.84	NAN
1977.21	-3.03	9.2	-0.98	NAN
1977.13	-3.13	9.22	-1.25	NAN
1977.04	-3.39	9.21	-1.3	NAN
1976.96	-3.69	9.17	-1.45	NAN
