# Caribbean Sclerosponge Oxygen Isotope and Sr/Ca Data
#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
#
# Online_Resource: https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:1878
#
# Original_Source_URL: ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/caribbean/pedro_bank_2003.txt
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Corals and Sclerosponges
#--------------------
# Contribution_Date
#	Date: 2003-10
#--------------------
# Title
#	Study_Name: Caribbean Sclerosponge Oxygen Isotope and Sr/Ca Data
#--------------------
# Investigators
#       Investigators: Haase-Schramm, A.; Böhm, F.; Eisenhauer, A.; Dullo, W.C.; Joachimski, M.M.; Hansen, B.; Reitner, J.
#--------------------
# Description_and_Notes
#	Description: Sr/Ca and oxygen isotope values (VPDB) were measured on aragonitic skeletons  of sclerosponges Ceratoporella nicholsoni. Sr/Ca values were measured with  ICP-AES with external reproducibility of 0.6% (2sem). External precision for  d18O is 0.07 permil (2sd). Age model is based on U/Th dating with average  error of 3%.  sample Pb19: Pedro Bank, 17�32�N, 78�57�W ; 125 mbsl
#--------------------
# Publication 
#       Authors: Haase-Schramm, A.; Böhm, F.; Eisenhauer, A.; Dullo, W.C.; Joachimski, M.M.; Hansen, B.; Reitner, J.
#       Published_Date_or_Year: 2003     
#       Published_Title: Sr/Ca ratios and oxygen isotopes from sclerosponges:  Temperature history of the Caribbean mixed layer and  thermocline during the Little Ice Age
#       Journal_Name: Paleoceanography
#       Volume: 18
#       Edition: 3
#       Issue: 
#       Pages: 1073
#       DOI: 10.1029/2002PA000830
#       Online_Resource: 
#       Full_Citation: Haase-Schramm, A., F. B�hm, A. Eisenhauer,  W.-C. Dullo, M.M. Joachimski, B. Hansen, and J. Reitner, 2003,  Sr/Ca ratios and oxygen isotopes from sclerosponges:  Temperature history of the Caribbean mixed layer and  thermocline during the Little Ice Age, Paleoceanography, Vol. 18, No. 3, 1073, doi:10.1029/2002PA000830.
#       Abstract: We investigate aragonitic skeletons of the Caribbean sclerosponge  Ceratoporella nicholsoni from Jamaica, 20 m below sea level (mbsl),  and Pedro Bank, 125 mbsl. We use d18O and Sr/Ca ratios as temperature  proxies to reconstruct the Caribbean mixed layer and thermocline  temperature history since 1400 A.D. with a decadal time resolution.  Our age models are based on U/Th dating and locating of the radiocarbon  bomb spike. The modern temperature difference between the two sites  is used to tentatively calibrate the C. nicholsoni Sr/Ca thermometer.  The resulting calibration points to a temperature sensitivity of  Sr/Ca in C. nicholsoni aragonite of about -0.1 mmol/mol/K. Our Sr/Ca  records reveal a pronounced warming from the early 19th to the  late 20th century, both at 20 and 125 mbsl. Two temperature minima  in the shallow water record during the late 17th and early 19th century  correspond to the Maunder and Dalton sunspot minima, respectively.  Another major cooling occurred in the late 16th century and is not  correlatable with a sunspot minimum. The temperature contrast between  the two sites decreased from the 14th century to a minimum in the  late 17th century and subsequently increased to modern values  in the early 19th century. This is interpreted as a long-term deepening  and subsequent shoaling of the Caribbean thermocline. The major trends  of the Sr/Ca records are reproduced in both specimens but hardly  reflected in the d18O records.
#------------------
# Funding_Agency 
#       Funding_Agency_Name: 
#       Grant: 
#------------------
# Site_Information 
#       Site_Name: Pedro Bank, Jamaica
#       Location: Ocean>Atlantic Ocean>North Atlantic Ocean>Caribbean Sea>Jamaica
#	Country: Jamaica 
#	Northernmost_Latitude: 17.53 
# 	Southernmost_Latitude: 17.53 
# 	Easternmost_Longitude: -77.97 
# 	Westernmost_Longitude: -77.97 
# 	Elevation: -125 m  
#------------------
# Data_Collection   
#	Collection_Name: 03jama01a  
#	Earliest_Year: 1389 
#	Most_Recent_Year: 1992 
#	Time_Unit: Years AD 
#	Core_Length: 
#	Notes: Core name- Sclerosponge Pb19
#------------------
# Species
#	Species_Name: Ceratoporella nicholsoni
#	Common_Name: 
#------------------
# Chronology: Age model is based on U/Th dating with average error of 3%. Our age models are based on U/Th dating and locating of the radiocarbon bomb spike.
# 
#
# 
#
# 
#
#
# 	
#----------------	
# Variables 
#
# Data variables follow that are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
##age_AD	age, , ,years AD, , Corals and Sclerosponges, , ,N
##d18o_t1	delta 18 Oxygen of transect one, Ceratoporella nicholsoni, , per mil PDB, , Corals and Sclerosponges, , ,N
##d18o_t2	delta 18 Oxygen of transect two, Ceratoporella nicholsoni, , per mil PDB, , Corals and Sclerosponges, , ,N
##d18o_t3	delta 18 Oxygen of transect three, Ceratoporella nicholsoni, , per mil PDB, , Corals and Sclerosponges, , ,N
##d18o_stk	delta 18 Oxygen of stack, Ceratoporella nicholsoni, , per mil VPDB, , Corals and Sclerosponges, , ,N
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values: NAN 
#
age_AD	d18o_t1	d18o_t2	d18o_t3	d18o_stk
1992	-0.36	-0.47	-0.47	-0.43
1987	-0.28	-0.44	-0.44	-0.39
1982	-0.31	-0.43	-0.51	-0.42
1979	NAN	-0.4	-0.5	-0.45
1977	-0.35	-0.49	NAN	-0.42
1972	-0.41	-0.45	-0.5	-0.45
1967	-0.31	NAN	-0.42	-0.37
1963	-0.32	-0.4	NAN	-0.36
1957	-0.26	-0.54	-0.49	-0.43
1952	-0.26	-0.36	-0.36	-0.33
1950	NAN	-0.35	NAN	-0.35
1947	-0.28	-0.46	-0.53	-0.42
1943	-0.31	-0.5	NAN	-0.41
1939	-0.38	NAN	-0.49	-0.44
1934	-0.25	-0.49	NAN	-0.37
1930	-0.31	-0.43	-0.44	-0.39
1928	NAN	-0.36	-0.35	-0.36
1926	-0.36	NAN	NAN	-0.36
1921	-0.32	-0.39	-0.32	-0.34
1918	-0.23	NAN	NAN	-0.23
1913	-0.3	-0.34	NAN	-0.32
1911	NAN	-0.48	NAN	-0.48
1909	-0.27	-0.48	NAN	-0.37
1905	-0.28	-0.53	NAN	-0.41
1905	-0.29	NAN	NAN	-0.29
1899	-0.19	-0.42	NAN	-0.3
1895	-0.36	-0.59	NAN	-0.47
1891	-0.4	-0.58	NAN	-0.49
1885	-0.35	-0.49	NAN	-0.42
1881	-0.29	-0.32	NAN	-0.3
1875	-0.29	NAN	NAN	-0.29
1870	-0.4	-0.45	NAN	-0.42
1865	-0.24	-0.4	NAN	-0.32
1859	-0.25	-0.36	NAN	-0.31
1854	-0.26	-0.39	NAN	-0.33
1849	-0.18	-0.39	NAN	-0.28
1844	-0.34	-0.41	NAN	-0.38
1837	-0.36	-0.46	NAN	-0.41
1833	-0.26	-0.47	NAN	-0.37
1828	-0.23	-0.57	NAN	-0.4
1823	-0.4	-0.52	NAN	-0.46
1818	-0.47	-0.61	NAN	-0.54
1813	-0.32	-0.41	NAN	-0.36
1808	-0.4	-0.48	NAN	-0.44
1802	-0.32	-0.44	NAN	-0.38
1797	-0.31	-0.49	NAN	-0.4
1791	-0.24	-0.3	NAN	-0.27
1785	-0.33	-0.38	NAN	-0.36
1780	-0.27	-0.34	NAN	-0.31
1774	-0.39	-0.42	NAN	-0.4
1769	-0.28	-0.36	NAN	-0.32
1763	-0.37	-0.43	NAN	-0.4
1758	-0.38	-0.45	NAN	-0.42
1752	-0.33	-0.42	NAN	-0.37
1746	-0.35	-0.39	NAN	-0.37
1741	-0.42	-0.44	NAN	-0.43
1736	-0.35	-0.37	NAN	-0.36
1731	-0.38	-0.59	NAN	-0.49
1727	-0.35	-0.46	NAN	-0.4
1721	-0.25	-0.42	NAN	-0.34
1715	-0.29	NAN	NAN	NAN
1709	-0.28	NAN	NAN	NAN
1703	-0.26	NAN	NAN	NAN
1698	-0.23	NAN	NAN	NAN
1693	-0.41	NAN	NAN	NAN
1687	-0.34	NAN	NAN	NAN
1682	-0.28	NAN	NAN	NAN
1676	-0.3	NAN	NAN	NAN
1670	-0.37	NAN	NAN	NAN
1665	-0.25	NAN	NAN	NAN
1660	-0.38	NAN	NAN	NAN
1655	-0.43	NAN	NAN	NAN
1650	-0.35	NAN	NAN	NAN
1645	-0.3	NAN	NAN	NAN
1640	-0.34	NAN	NAN	NAN
1635	-0.32	NAN	NAN	NAN
1629	-0.34	NAN	NAN	NAN
1623	-0.31	NAN	NAN	NAN
1617	-0.4	NAN	NAN	NAN
1612	-0.33	NAN	NAN	NAN
1607	-0.43	NAN	NAN	NAN
1601	-0.36	NAN	NAN	NAN
1596	-0.38	NAN	NAN	NAN
1590	-0.24	NAN	NAN	NAN
1585	-0.35	NAN	NAN	NAN
1579	-0.28	NAN	NAN	NAN
1574	-0.45	NAN	NAN	NAN
1568	-0.31	NAN	NAN	NAN
1564	-0.26	NAN	NAN	NAN
1559	-0.36	NAN	NAN	NAN
1554	-0.26	NAN	NAN	NAN
1550	-0.23	NAN	NAN	NAN
1545	-0.41	NAN	NAN	NAN
1540	-0.4	NAN	NAN	NAN
1534	-0.38	NAN	NAN	NAN
1528	-0.27	NAN	NAN	NAN
1522	-0.28	NAN	NAN	NAN
1516	-0.39	NAN	NAN	NAN
1509	-0.32	NAN	NAN	NAN
1504	-0.42	NAN	NAN	NAN
1498	-0.45	NAN	NAN	NAN
1493	-0.24	NAN	NAN	NAN
1487	-0.39	NAN	NAN	NAN
1482	-0.36	NAN	NAN	NAN
1476	-0.36	NAN	NAN	NAN
1471	-0.33	NAN	NAN	NAN
1466	-0.4	NAN	NAN	NAN
1460	-0.39	NAN	NAN	NAN
1454	-0.33	NAN	NAN	NAN
1448	-0.33	NAN	NAN	NAN
1441	-0.33	NAN	NAN	NAN
1435	-0.41	NAN	NAN	NAN
1427	-0.39	NAN	NAN	NAN
1420	-0.36	NAN	NAN	NAN
1413	-0.4	NAN	NAN	NAN
1405	-0.35	NAN	NAN	NAN
1398	-0.41	NAN	NAN	NAN
1393	-0.36	NAN	NAN	NAN
1389	-0.33	NAN	NAN	NAN
